cohort,cohort_q,base_period,base_period_q,time,time_q,att,std_error,ci_low,ci_high,signif
9,2012Q1,8,2011Q4,28,2016Q4,0.06552697589854092,0.010512641578254257,0.044922577022784266,0.08613137477429758,*
9,2012Q1,8,2011Q4,29,2017Q1,0.06704556603858111,0.010802686577296513,0.045872689410805675,0.08821844266635655,*
9,2012Q1,8,2011Q4,30,2017Q2,0.06995515071927924,0.01155694789646311,0.04730394907100561,0.09260635236755288,*
9,2012Q1,8,2011Q4,31,2017Q3,0.058873789628215975,0.011800518820509202,0.03574519774113086,0.08200238151530109,*
9,2012Q1,8,2011Q4,32,2017Q4,0.06669446461824005,0.012259013390649524,0.04266723988657273,0.09072168934990738,*
9,2012Q1,8,2011Q4,33,2018Q1,0.06802961934736489,0.013155338558291107,0.04224562956868324,0.09381360912604653,*
9,2012Q1,8,2011Q4,34,2018Q2,0.06941987050233564,0.013945635521457224,0.04208692713875702,0.09675281386591425,*
9,2012Q1,8,2011Q4,35,2018Q3,0.0757991831732148,0.014545500944812637,0.047290525184288695,0.1043078411621409,*
9,2012Q1,8,2011Q4,36,2018Q4,0.07533832785495326,0.01498407896080861,0.04597007275026402,0.1047065829596425,*
9,2012Q1,8,2011Q4,37,2019Q1,0.07990947203951679,0.015605363201819154,0.049323522198284585,0.11049542188074898,*
9,2012Q1,8,2011Q4,38,2019Q2,0.07682619778514907,0.016092210191215196,0.04528604537871887,0.10836635019157927,*
9,2012Q1,8,2011Q4,39,2019Q3,0.07463185243433745,0.016600290279695406,0.04209588135322412,0.10716782351545079,*
9,2012Q1,8,2011Q4,40,2019Q4,0.08195403843196555,0.016909498390521714,0.048812030589904985,0.11509604627402611,*
9,2012Q1,8,2011Q4,41,2020Q1,0.0866583187915481,0.017115144341006482,0.05311325229297088,0.12020338529012532,*
9,2012Q1,8,2011Q4,42,2020Q2,0.035614319268865026,0.033645423197498206,-0.03032949844283992,0.10155813698056998,
9,2012Q1,8,2011Q4,43,2020Q3,-0.004543347990337845,0.023756792316534762,-0.051105805318943855,0.04201910933826817,
9,2012Q1,8,2011Q4,44,2020Q4,0.028977598221569534,0.02335031031259709,-0.016788169018954975,0.07474336546209404,
9,2012Q1,8,2011Q4,45,2021Q1,0.03240083020504081,0.023467822442580492,-0.013595256577997754,0.07839691698807938,
9,2012Q1,8,2011Q4,46,2021Q2,0.04703365754498655,0.02290130275633666,0.002147928943518826,0.09191938614645427,*
9,2012Q1,8,2011Q4,47,2021Q3,0.06922528521769704,0.022603352654768306,0.024923528084493343,0.11352704235090073,*
